product_id,name,brand_id,category_id,purchased_count,img,created_at,slug
1,iPhone 16 Pro Max - Chính hãng VN/A,15,1,24,https://cdn.hoanghamobile.com/Uploads/2024/09/10/iphone-16-pro-sa-mac-1.png;trim.threshold=80;trim.percentpadding=0.5;width=180;height=180;mode=pad;,2025-04-17 13:56:51,iphone-16-pro-max
2,iPhone 16 - Chính hãng VN/A,15,1,53,https://cdn.hoanghamobile.com/Uploads/2024/09/10/ip16-xanh-mong-ket.png;trim.threshold=80;trim.percentpadding=0.5;width=180;height=180;mode=pad;,2025-04-17 13:56:51,iphone-16
3,iPhone 16e - Chính hãng VN/A,15,1,77,https://cdn.hoanghamobile.com/Uploads/2025/02/20/iphone-16e-trang-1.png;trim.threshold=80;trim.percentpadding=0.5;width=180;height=180;mode=pad;,2025-04-17 13:56:51,iphone-16e
4,iPhone 16 Pro - Chính hãng VN/A,15,1,18,https://cdn.hoanghamobile.com/Uploads/2024/09/10/iphone-16-pro-tu-nhien-1.png;trim.threshold=80;trim.percentpadding=0.5;width=180;height=180;mode=pad;,2025-04-17 13:56:51,iphone-16-pro
5,iPhone 16 Plus - Chính hãng VN/A,15,1,20,https://cdn.hoanghamobile.com/Uploads/2024/09/10/ip16-xanh-luu-ly.png;trim.threshold=80;trim.percentpadding=0.5;width=180;height=180;mode=pad;,2025-04-17 13:56:51,iphone-16-plus
6,iPhone 15 Pro Max - Chính hãng VN/A,15,1,10,https://cdn.hoanghamobile.com/Uploads/2023/09/13/iphone-15-pro-max-natural-titanium-pure-back-iphone-15-pro-max-natural-titanium-pure-front-2up-screen-usen-1.png;trim.threshold=80;trim.percentpadding=0.5;width=180;height=180;mode=pad;,2025-04-17 13:56:51,iphone-15-pro-max
7,iPhone 15 Pro - Chính hãng VN/A,15,1,60,https://cdn.hoanghamobile.com/Uploads/2023/09/13/iphone-15-pro-finish-select-202309-6-7inch-naturaltitanium-removebg-preview-1.png;trim.threshold=80;trim.percentpadding=0.5;width=180;height=180;mode=pad;,2025-04-17 13:56:51,iphone-15-pro
8,iPhone 15 Plus - Chính hãng VN/A,15,1,75,https://cdn.hoanghamobile.com/Uploads/2023/09/13/iphone-15-plus-blue-pure-back-iphone-15-plus-blue-pure-front-2up-screen-usen.png;trim.threshold=80;trim.percentpadding=0.5;width=180;height=180;mode=pad;,2025-04-17 13:56:51,iphone-15-plus
9,iPhone 15 - Chính hãng VN/A,15,1,57,https://cdn.hoanghamobile.com/Uploads/2023/09/13/iphone-15-pink-pure-back-iphone-15-pink-pure-front-2up-screen-usen.png;trim.threshold=80;trim.percentpadding=0.5;width=180;height=180;mode=pad;,2025-04-17 13:56:51,iphone-15
10,iPhone 13 - Chính hãng VN/A,15,1,14,https://cdn.hoanghamobile.com/Uploads/2024/12/03/iphone-13-trang-1.png;trim.threshold=80;trim.percentpadding=0.5;width=180;height=180;mode=pad;,2025-04-17 13:56:51,iphone-13
11,iPhone 14 - Chính hãng VN/A,15,1,83,https://cdn.hoanghamobile.com/Uploads/2023/07/18/14-removebg-preview.png;trim.threshold=80;trim.percentpadding=0.5;width=180;height=180;mode=pad;,2025-04-17 13:56:51,iphone-14
12,iPhone 14 Plus - Chính hãng VN/A,15,1,41,https://cdn.hoanghamobile.com/Uploads/2023/07/18/14plus-removebg-preview.png;trim.threshold=80;trim.percentpadding=0.5;width=180;height=180;mode=pad;,2025-04-17 13:56:51,iphone-14-plus
