product_id,name,brand_id,category_id,purchased_count,img,created_at,slug
13,Samsung Galaxy Z Fold6,12,1,63,https://cdn.hoanghamobile.com/Uploads/2024/07/11/z-fold6-thumb.png;trim.threshold=80;trim.percentpadding=0.5;width=180;height=180;mode=pad;,2025-04-17 16:44:26,samsung-galaxy-z-fold6
14,Samsung Galaxy S25,12,1,20,https://cdn.hoanghamobile.com/Uploads/2025/01/23/thumb.png;trim.threshold=80;trim.percentpadding=0.5;width=180;height=180;mode=pad;,2025-04-17 16:44:26,samsung-galaxy-s25
15,Samsung Galaxy S25 Ultra,12,1,45,https://cdn.hoanghamobile.com/Uploads/2025/01/23/image-removebg-preview.png;trim.threshold=80;trim.percentpadding=0.5;width=180;height=180;mode=pad;,2025-04-17 16:44:26,samsung-galaxy-s25-ultra
16,Samsung Galaxy S25 Plus,12,1,20,https://cdn.hoanghamobile.com/Uploads/2025/01/23/thumb_638731947924860898.png;trim.threshold=80;trim.percentpadding=0.5;width=180;height=180;mode=pad;,2025-04-17 16:44:26,samsung-galaxy-s25-plus
17,Samsung Galaxy Z Flip6,12,1,55,https://cdn.hoanghamobile.com/Uploads/2024/07/11/z-flip6-thumb.png;trim.threshold=80;trim.percentpadding=0.5;width=180;height=180;mode=pad;,2025-04-17 16:44:26,samsung-galaxy-z-flip6
18,Samsung Galaxy A06 5G,12,1,100,https://cdn.hoanghamobile.com/Uploads/2025/03/21/a06-5g-light-green.png;trim.threshold=80;trim.percentpadding=0.5;width=180;height=180;mode=pad;,2025-04-17 16:44:26,samsung-galaxy-a06-5g
19,Samsung Galaxy A26 5G,12,1,39,https://cdn.hoanghamobile.com/Uploads/2025/03/24/a26-cam-opal.png;trim.threshold=80;trim.percentpadding=0.5;width=180;height=180;mode=pad;,2025-04-17 16:44:26,samsung-galaxy-a26-5g
20,Samsung Galaxy M54 5G,12,1,88,https://cdn.hoanghamobile.com/Uploads/2025/01/07/untitled-3.png;trim.threshold=80;trim.percentpadding=0.5;width=180;height=180;mode=pad;,2025-04-17 16:44:26,samsung-galaxy-m54-5g
21,Samsung Galaxy A06,12,1,29,https://cdn.hoanghamobile.com/Uploads/2025/03/21/a06-light-blue.png;trim.threshold=80;trim.percentpadding=0.5;width=180;height=180;mode=pad;,2025-04-17 16:44:26,samsung-galaxy-a06
22,Samsung Galaxy S24 FE,12,1,100,https://cdn.hoanghamobile.com/Uploads/2025/01/06/samsung-galaxy-s24-fe-thumb.png;trim.threshold=80;trim.percentpadding=0.5;width=180;height=180;mode=pad;,2025-04-17 16:44:26,samsung-galaxy-s24-fe
23,Samsung Galaxy M15 5G,12,1,27,https://cdn.hoanghamobile.com/Uploads/2024/12/03/galaxy-m15-5g-xanh-dam-1.png;trim.threshold=80;trim.percentpadding=0.5;width=180;height=180;mode=pad;,2025-04-17 16:44:26,samsung-galaxy-m15-5g
24,Samsung Galaxy Z Fold6(BHĐT),12,1,0,https://cdn.hoanghamobile.com/Uploads/2024/07/11/z-fold6-thumb.png;trim.threshold=80;trim.percentpadding=0.5;width=180;height=180;mode=pad;,2025-04-17 16:44:26,samsung-galaxy-z-fold6-bhđt
25,Samsung Galaxy A06 5G (BHĐT),12,1,70,https://cdn.hoanghamobile.com/Uploads/2025/03/21/a06-5g-light-green.png;trim.threshold=80;trim.percentpadding=0.5;width=180;height=180;mode=pad;,2025-04-17 16:44:26,samsung-galaxy-a06-5g-bhđt
26,Samsung Galaxy A35,12,1,12,https://cdn.hoanghamobile.com/Uploads/2025/03/24/a35-navy.png;trim.threshold=80;trim.percentpadding=0.5;width=180;height=180;mode=pad;,2025-04-17 16:44:26,samsung-galaxy-a35
27,Samsung Galaxy S24 Ultra (BHĐT),12,1,12,https://cdn.hoanghamobile.com/Uploads/2024/01/16/s24-ultra-vang_638409930027889246.png;trim.threshold=80;trim.percentpadding=0.5;width=180;height=180;mode=pad;,2025-04-17 16:44:26,samsung-galaxy-s24-ultra-bhđt
28,Samsung Galaxy A55,12,1,58,https://cdn.hoanghamobile.com/Uploads/2025/03/24/a55-iceblue.png;trim.threshold=80;trim.percentpadding=0.5;width=180;height=180;mode=pad;,2025-04-17 16:44:26,samsung-galaxy-a55
29,Samsung Galaxy A16 5G,12,1,46,https://cdn.hoanghamobile.com/Uploads/2025/03/24/a16-5g-blue-black.png;trim.threshold=80;trim.percentpadding=0.5;width=180;height=180;mode=pad;,2025-04-17 16:44:26,samsung-galaxy-a16-5g
30,Samsung Galaxy S23 FE 5G,12,1,23,https://cdn.hoanghamobile.com/Uploads/2024/03/29/samsung-galaxy-s23-fe-2.png;trim.threshold=80;trim.percentpadding=0.5;width=180;height=180;mode=pad;,2025-04-17 16:44:26,samsung-galaxy-s23-fe-5g
31,Samsung Galaxy A15,12,1,22,https://cdn.hoanghamobile.com/Uploads/2025/01/06/samsung-galaxy-a15-thumb.png;trim.threshold=80;trim.percentpadding=0.5;width=180;height=180;mode=pad;,2025-04-17 16:44:26,samsung-galaxy-a15
32,Samsung Galaxy A25 5G,12,1,77,https://cdn.hoanghamobile.com/Uploads/2025/03/24/a25-yellow.png;trim.threshold=80;trim.percentpadding=0.5;width=180;height=180;mode=pad;,2025-04-17 16:44:26,samsung-galaxy-a25-5g
33,Samsung Galaxy Z Flip5,12,1,40,https://cdn.hoanghamobile.com/Uploads/2024/03/28/z-flip5-tim.png;trim.threshold=80;trim.percentpadding=0.5;width=180;height=180;mode=pad;,2025-04-17 16:44:26,samsung-galaxy-z-flip5
34,Samsung Galaxy A05S,12,1,96,https://cdn.hoanghamobile.com/Uploads/2025/03/24/a05s-silver.png;trim.threshold=80;trim.percentpadding=0.5;width=180;height=180;mode=pad;,2025-04-17 16:44:26,samsung-galaxy-a05s
